center_lat,center_lng,radius_km,rider_lat,rider_lng,inside_zone
12.9716,77.5946,10.0,12.947810360579965,77.52507447433246,1
22.5726,88.3639,10.0,22.45595791222001,88.40498474647359,0
22.5726,88.3639,5.0,22.593561662148023,88.5202412624108,0
18.5204,73.8567,10.0,18.360912230268113,74.07541042170173,0
13.0827,80.2707,10.0,13.120071738473055,80.28164368096773,1
18.5204,73.8567,5.0,18.438253632636403,73.94905832286264,0
17.385,78.4867,2.0,17.38344422926919,78.48343842377402,1
22.5726,88.3639,10.0,22.529946315391292,88.55341122711131,0
22.5726,88.3639,2.0,22.56543927974764,88.35163541125385,1
17.385,78.4867,15.0,17.51437708796506,78.60612876239091,0
22.5726,88.3639,5.0,22.394625805457025,88.2966301282615,0
13.0827,80.2707,2.0,13.079267916920706,80.27228853816014,1
22.5726,88.3639,2.0,22.569892380359004,88.35947174561878,1
18.5204,73.8567,5.0,18.537083772833498,73.88741086544982,1
22.5726,88.3639,5.0,22.56608507034515,88.36400877363971,1
17.385,78.4867,15.0,17.358797547726898,78.4575121900762,1
28.6139,77.209,2.0,28.54454885003006,76.96829378024361,0
19.076,72.8777,10.0,19.048675491156764,73.0806198959403,0
12.9716,77.5946,15.0,12.937969768348925,77.57545709188294,1
12.9716,77.5946,10.0,12.839796759921043,77.4546869408218,0
13.0827,80.2707,2.0,13.082302960033655,80.27085163797119,1
13.0827,80.2707,2.0,13.13353720018985,80.24360343422256,0
13.0827,80.2707,5.0,13.043330963580923,80.27551865704169,1
19.076,72.8777,15.0,18.97030102072969,72.82405668140426,1
18.5204,73.8567,15.0,18.756364373332303,73.890702779033,0
17.385,78.4867,2.0,17.364669038419976,78.44727771807088,0
18.5204,73.8567,10.0,18.529476437860833,73.93589662371672,1
17.385,78.4867,15.0,17.254930234018545,78.79129345320605,0
13.0827,80.2707,5.0,13.102369194419394,80.30449974649076,1
18.5204,73.8567,10.0,18.721381511567937,73.68318712204164,0
17.385,78.4867,15.0,17.18431896679511,78.70126196007828,0
28.6139,77.209,15.0,28.753985376339823,77.36340999984218,0
22.5726,88.3639,2.0,22.643323569575514,88.58400558009328,0
28.6139,77.209,10.0,28.740264266608534,77.22161916841343,0
12.9716,77.5946,5.0,12.963974248061405,77.57406713089719,1
18.5204,73.8567,10.0,18.69538844706175,74.05593571773177,0
12.9716,77.5946,15.0,12.891754599619537,77.94497578857988,0
13.0827,80.2707,5.0,13.127862648120884,80.32777267596772,0
19.076,72.8777,5.0,18.853888572783756,72.9266170682893,0
13.0827,80.2707,2.0,13.104159881806241,80.47205384898999,0
